type,date,deviceid,roomno,reading
energy,2015-02-13T16:46:10.7277846Z,energy6,1,2836
humidity,2015-02-13T16:46:10.7277846Z,humidity6,1,119
light,2015-02-13T16:46:10.7277846Z,light6,1,1203
temperature,2015-02-13T16:46:10.7337893Z,temperature7,1,24.08
energy,2015-02-13T16:46:10.7337893Z,energy7,1,2464
humidity,2015-02-13T16:46:10.7337893Z,humidity7,1,41
light,2015-02-13T16:46:10.7337893Z,light7,1,1252
temperature,2015-02-13T16:46:10.7427959Z,temperature8,1,30.56
energy,2015-02-13T16:46:10.7427959Z,energy8,1,5275
humidity,2015-02-13T16:46:10.7432961Z,humidity8,1,58
light,2015-02-13T16:46:10.7432961Z,light8,1,1522
temperature,2015-02-13T16:46:10.7493000Z,temperature9,1,19.84
energy,2015-02-13T16:46:10.7493000Z,energy9,1,4819
humidity,2015-02-13T16:46:10.7493000Z,humidity9,1,66
light,2015-02-13T16:46:10.7493000Z,light9,1,1409
temperature,2015-02-13T16:46:10.7568058Z,temperature0,2,23.06
energy,2015-02-13T16:46:10.7568058Z,energy0,2,2932
humidity,2015-02-13T16:46:10.7568058Z,humidity0,2,60
light,2015-02-13T16:46:10.7568058Z,light0,2,1086
temperature,2015-02-13T16:46:10.7633099Z,temperature1,2,24.48
energy,2015-02-13T16:46:10.7633099Z,energy1,2,2503
humidity,2015-02-13T16:46:10.7633099Z,humidity1,2,53
light,2015-02-13T16:46:10.7633099Z,light1,2,694
temperature,2015-02-13T16:46:10.7713160Z,temperature2,2,21.46
energy,2015-02-13T16:46:10.7713160Z,energy2,2,2206
humidity,2015-02-13T16:46:10.7713160Z,humidity2,2,69
light,2015-02-13T16:46:10.7718167Z,light2,2,546
temperature,2015-02-13T16:46:10.7783208Z,temperature3,2,55.54
energy,2015-02-13T16:46:10.7783208Z,energy3,2,12807
humidity,2015-02-13T16:46:10.7783208Z,humidity3,2,41
light,2015-02-13T16:46:10.7783208Z,light3,2,1176
temperature,2015-02-13T16:46:10.7858258Z,temperature4,2,20.59
energy,2015-02-13T16:46:10.7858258Z,energy4,2,2028
humidity,2015-02-13T16:46:10.7858258Z,humidity4,2,70
light,2015-02-13T16:46:10.7858258Z,light4,2,391
temperature,2015-02-13T16:46:10.7923307Z,temperature5,2,23.8
energy,2015-02-13T16:46:10.7923307Z,energy5,2,3129
humidity,2015-02-13T16:46:10.7923307Z,humidity5,2,128
light,2015-02-13T16:46:10.7923307Z,light5,2,282
temperature,2015-02-13T16:46:10.7998357Z,temperature6,2,28.35
energy,2015-02-13T16:46:10.7998357Z,energy6,2,4357
humidity,2015-02-13T16:46:10.7998357Z,humidity6,2,113
light,2015-02-13T16:46:10.7998357Z,light6,2,1744
temperature,2015-02-13T16:46:10.8098433Z,temperature7,2,20.37
energy,2015-02-13T16:46:10.8098433Z,energy7,2,3666
humidity,2015-02-13T16:46:10.8098433Z,humidity7,2,47
light,2015-02-13T16:46:10.8098433Z,light7,2,2323
temperature,2015-02-13T16:46:10.8173487Z,temperature8,2,33.6
energy,2015-02-13T16:46:10.8173487Z,energy8,2,5855
humidity,2015-02-13T16:46:10.8173487Z,humidity8,2,54
light,2015-02-13T16:46:10.8173487Z,light8,2,665
temperature,2015-02-13T16:46:10.8238537Z,temperature9,2,22.23
energy,2015-02-13T16:46:10.8243539Z,energy9,2,4588
humidity,2015-02-13T16:46:10.8243539Z,humidity9,2,58
light,2015-02-13T16:46:10.8243539Z,light9,2,238
temperature,2015-02-13T16:46:10.8318589Z,temperature0,3,28.49
energy,2015-02-13T16:46:10.8318589Z,energy0,3,3410
humidity,2015-02-13T16:46:10.8318589Z,humidity0,3,58
light,2015-02-13T16:46:10.8318589Z,light0,3,746
temperature,2015-02-13T16:46:10.8388636Z,temperature1,3,23.44
energy,2015-02-13T16:46:10.8388636Z,energy1,3,4277
humidity,2015-02-13T16:46:10.8388636Z,humidity1,3,50
light,2015-02-13T16:46:10.8388636Z,light1,3,1341
temperature,2015-02-13T16:46:10.8473696Z,temperature2,3,26.94
energy,2015-02-13T16:46:10.8473696Z,energy2,3,3648
humidity,2015-02-13T16:46:10.8473696Z,humidity2,3,69
light,2015-02-13T16:46:10.8473696Z,light2,3,47
temperature,2015-02-13T16:46:10.8543748Z,temperature3,3,60.4
energy,2015-02-13T16:46:10.8543748Z,energy3,3,9794
humidity,2015-02-13T16:46:10.8543748Z,humidity3,3,53
light,2015-02-13T16:46:10.8543748Z,light3,3,1769
temperature,2015-02-13T16:46:10.8623805Z,temperature4,3,26.93
energy,2015-02-13T16:46:10.8623805Z,energy4,3,3014
humidity,2015-02-13T16:46:10.8623805Z,humidity4,3,66
light,2015-02-13T16:46:10.8623805Z,light4,3,1930
temperature,2015-02-13T16:46:10.8693856Z,temperature5,3,23.38
energy,2015-02-13T16:46:10.8698859Z,energy5,3,3051
humidity,2015-02-13T16:46:10.8698859Z,humidity5,3,109
light,2015-02-13T16:46:10.8698859Z,light5,3,1130
temperature,2015-02-13T16:46:10.8793923Z,temperature6,3,27.85
energy,2015-02-13T16:46:10.8793923Z,energy6,3,2543
humidity,2015-02-13T16:46:10.8793923Z,humidity6,3,86
light,2015-02-13T16:46:10.8793923Z,light6,3,68
temperature,2015-02-13T16:46:10.8944036Z,temperature7,3,26.55
energy,2015-02-13T16:46:10.8944036Z,energy7,3,3942
humidity,2015-02-13T16:46:10.8944036Z,humidity7,3,54
light,2015-02-13T16:46:10.8944036Z,light7,3,904
temperature,2015-02-13T16:46:10.9044107Z,temperature8,3,29.53
energy,2015-02-13T16:46:10.9049105Z,energy8,3,4599
humidity,2015-02-13T16:46:10.9049105Z,humidity8,3,56
light,2015-02-13T16:46:10.9049105Z,light8,3,1739
temperature,2015-02-13T16:46:10.9144174Z,temperature9,3,28.17
energy,2015-02-13T16:46:10.9144174Z,energy9,3,2348
humidity,2015-02-13T16:46:10.9149176Z,humidity9,3,69
light,2015-02-13T16:46:10.9149176Z,light9,3,291
temperature,2015-02-13T16:46:10.9259257Z,temperature0,4,24.61
energy,2015-02-13T16:46:10.9259257Z,energy0,4,2066
humidity,2015-02-13T16:46:10.9259257Z,humidity0,4,47
light,2015-02-13T16:46:10.9259257Z,light0,4,931
temperature,2015-02-13T16:46:10.9414404Z,temperature1,4,27.36
energy,2015-02-13T16:46:10.9414404Z,energy1,4,2480
humidity,2015-02-13T16:46:10.9419424Z,humidity1,4,53
light,2015-02-13T16:46:10.9419424Z,light1,4,702
temperature,2015-02-13T16:46:10.9649536Z,temperature2,4,25.76
energy,2015-02-13T16:46:10.9649536Z,energy2,4,2452
humidity,2015-02-13T16:46:10.9649536Z,humidity2,4,63
light,2015-02-13T16:46:10.9649536Z,light2,4,2018
temperature,2015-02-13T16:46:10.9799640Z,temperature3,4,60.96
energy,2015-02-13T16:46:10.9804647Z,energy3,4,11747
humidity,2015-02-13T16:46:10.9804647Z,humidity3,4,68
light,2015-02-13T16:46:10.9804647Z,light3,4,1073
temperature,2015-02-13T16:46:10.9944747Z,temperature4,4,21.34
energy,2015-02-13T16:46:10.9949754Z,energy4,4,4438
humidity,2015-02-13T16:46:10.9949754Z,humidity4,4,60
light,2015-02-13T16:46:10.9949754Z,light4,4,624
temperature,2015-02-13T16:46:11.0044813Z,temperature5,4,23.68
energy,2015-02-13T16:46:11.0049820Z,energy5,4,2696
humidity,2015-02-13T16:46:11.0049820Z,humidity5,4,167
light,2015-02-13T16:46:11.0049820Z,light5,4,226
temperature,2015-02-13T16:46:11.0124875Z,temperature6,4,21.46
energy,2015-02-13T16:46:11.0124875Z,energy6,4,3520
humidity,2015-02-13T16:46:11.0124875Z,humidity6,4,94
light,2015-02-13T16:46:11.0124875Z,light6,4,1048
temperature,2015-02-13T16:46:11.0209934Z,temperature7,4,22.69
energy,2015-02-13T16:46:11.0209934Z,energy7,4,3053
humidity,2015-02-13T16:46:11.0209934Z,humidity7,4,42
light,2015-02-13T16:46:11.0209934Z,light7,4,2780
temperature,2015-02-13T16:46:11.0279977Z,temperature8,4,30.34
energy,2015-02-13T16:46:11.0279977Z,energy8,4,4144
humidity,2015-02-13T16:46:11.0284984Z,humidity8,4,56
light,2015-02-13T16:46:11.0284984Z,light8,4,697
temperature,2015-02-13T16:46:11.0725305Z,temperature9,4,21.31
energy,2015-02-13T16:46:11.0760322Z,energy9,4,4273
humidity,2015-02-13T16:46:11.0765325Z,humidity9,4,71
light,2015-02-13T16:46:11.0765325Z,light9,4,1304
temperature,2015-02-13T16:46:12.0867819Z,temperature0,0,27.41
energy,2015-02-13T16:46:12.0867819Z,energy0,0,4781
humidity,2015-02-13T16:46:12.0867819Z,humidity0,0,54
light,2015-02-13T16:46:12.0867819Z,light0,0,1071
temperature,2015-02-13T16:46:12.0907843Z,temperature1,0,20.46
energy,2015-02-13T16:46:12.0907843Z,energy1,0,3257
humidity,2015-02-13T16:46:12.0907843Z,humidity1,0,79
light,2015-02-13T16:46:12.0907843Z,light1,0,1410
temperature,2015-02-13T16:46:12.0997909Z,temperature2,0,28.06
energy,2015-02-13T16:46:12.0997909Z,energy2,0,3707
humidity,2015-02-13T16:46:12.0997909Z,humidity2,0,71
light,2015-02-13T16:46:12.0997909Z,light2,0,188
temperature,2015-02-13T16:46:12.1047942Z,temperature3,0,70.43
energy,2015-02-13T16:46:12.1047942Z,energy3,0,9750
humidity,2015-02-13T16:46:12.1047942Z,humidity3,0,68
light,2015-02-13T16:46:12.1047942Z,light3,0,547
temperature,2015-02-13T16:46:12.1117990Z,temperature4,0,19.85
energy,2015-02-13T16:46:12.1117990Z,energy4,0,2167
humidity,2015-02-13T16:46:12.1117990Z,humidity4,0,52
light,2015-02-13T16:46:12.1117990Z,light4,0,851
temperature,2015-02-13T16:46:12.1178033Z,temperature5,0,25.99
energy,2015-02-13T16:46:12.1178033Z,energy5,0,4222
humidity,2015-02-13T16:46:12.1178033Z,humidity5,0,88
light,2015-02-13T16:46:12.1178033Z,light5,0,547
temperature,2015-02-13T16:46:12.1228070Z,temperature6,0,20.49
energy,2015-02-13T16:46:12.1228070Z,energy6,0,4628
humidity,2015-02-13T16:46:12.1228070Z,humidity6,0,84
light,2015-02-13T16:46:12.1228070Z,light6,0,1320
temperature,2015-02-13T16:46:12.1318132Z,temperature7,0,25.02
energy,2015-02-13T16:46:12.1318132Z,energy7,0,2975
humidity,2015-02-13T16:46:12.1318132Z,humidity7,0,56
light,2015-02-13T16:46:12.1318132Z,light7,0,1684
temperature,2015-02-13T16:46:12.1368165Z,temperature8,0,24.08
energy,2015-02-13T16:46:12.1368165Z,energy8,0,5181
humidity,2015-02-13T16:46:12.1368165Z,humidity8,0,66
light,2015-02-13T16:46:12.1368165Z,light8,0,870
temperature,2015-02-13T16:46:12.1428212Z,temperature9,0,27.69
energy,2015-02-13T16:46:12.1428212Z,energy9,0,3166
humidity,2015-02-13T16:46:12.1428212Z,humidity9,0,41
light,2015-02-13T16:46:12.1428212Z,light9,0,1383
temperature,2015-02-13T16:46:12.1478264Z,temperature0,1,24.65
energy,2015-02-13T16:46:12.1478264Z,energy0,1,4014
humidity,2015-02-13T16:46:12.1478264Z,humidity0,1,66
light,2015-02-13T16:46:12.1478264Z,light0,1,1343
temperature,2015-02-13T16:46:12.1558307Z,temperature1,1,25.02
energy,2015-02-13T16:46:12.1558307Z,energy1,1,4835
humidity,2015-02-13T16:46:12.1558307Z,humidity1,1,42
light,2015-02-13T16:46:12.1558307Z,light1,1,189
temperature,2015-02-13T16:46:12.1638364Z,temperature2,1,26.88
energy,2015-02-13T16:46:12.1638364Z,energy2,1,4532
humidity,2015-02-13T16:46:12.1638364Z,humidity2,1,54
light,2015-02-13T16:46:12.1638364Z,light2,1,284
temperature,2015-02-13T16:46:12.1728426Z,temperature3,1,67.1
energy,2015-02-13T16:46:12.1728426Z,energy3,1,9485
humidity,2015-02-13T16:46:12.1728426Z,humidity3,1,41
light,2015-02-13T16:46:12.1728426Z,light3,1,143
temperature,2015-02-13T16:46:12.1778459Z,temperature4,1,28.01
energy,2015-02-13T16:46:12.1778459Z,energy4,1,2199
humidity,2015-02-13T16:46:12.1778459Z,humidity4,1,59
light,2015-02-13T16:46:12.1778459Z,light4,1,517
temperature,2015-02-13T16:46:12.1828514Z,temperature5,1,20.62
energy,2015-02-13T16:46:12.1828514Z,energy5,1,2720
humidity,2015-02-13T16:46:12.1828514Z,humidity5,1,100
light,2015-02-13T16:46:12.1828514Z,light5,1,1039
temperature,2015-02-13T16:46:12.1898540Z,temperature6,1,21.25
energy,2015-02-13T16:46:12.1898540Z,energy6,1,3088
humidity,2015-02-13T16:46:12.1898540Z,humidity6,1,66
light,2015-02-13T16:46:12.1898540Z,light6,1,1439
temperature,2015-02-13T16:46:12.1968592Z,temperature7,1,20.76
energy,2015-02-13T16:46:12.1968592Z,energy7,1,2688
humidity,2015-02-13T16:46:12.1968592Z,humidity7,1,57
light,2015-02-13T16:46:12.1968592Z,light7,1,2598
temperature,2015-02-13T16:46:12.2018625Z,temperature8,1,23.86
energy,2015-02-13T16:46:12.2018625Z,energy8,1,4303
humidity,2015-02-13T16:46:12.2018625Z,humidity8,1,84
light,2015-02-13T16:46:12.2018625Z,light8,1,1789
temperature,2015-02-13T16:46:12.2098691Z,temperature9,1,20.5
energy,2015-02-13T16:46:12.2098691Z,energy9,1,2893
humidity,2015-02-13T16:46:12.2098691Z,humidity9,1,68
light,2015-02-13T16:46:12.2098691Z,light9,1,221
temperature,2015-02-13T16:46:12.2188752Z,temperature0,2,27.35
energy,2015-02-13T16:46:12.2188752Z,energy0,2,2645
humidity,2015-02-13T16:46:12.2188752Z,humidity0,2,77
light,2015-02-13T16:46:12.2188752Z,light0,2,1281
temperature,2015-02-13T16:46:12.2268809Z,temperature1,2,28.7
energy,2015-02-13T16:46:12.2268809Z,energy1,2,2821
humidity,2015-02-13T16:46:12.2268809Z,humidity1,2,77
light,2015-02-13T16:46:12.2268809Z,light1,2,1034
temperature,2015-02-13T16:46:12.2318842Z,temperature2,2,26.7
energy,2015-02-13T16:46:12.2318842Z,energy2,2,2903
humidity,2015-02-13T16:46:12.2318842Z,humidity2,2,62
light,2015-02-13T16:46:12.2318842Z,light2,2,1734
temperature,2015-02-13T16:46:12.2388890Z,temperature3,2,78.44
energy,2015-02-13T16:46:12.2398904Z,energy3,2,12420
humidity,2015-02-13T16:46:12.2398904Z,humidity3,2,66
light,2015-02-13T16:46:12.2398904Z,light3,2,539
temperature,2015-02-13T16:46:12.2478961Z,temperature4,2,24.21
energy,2015-02-13T16:46:12.2478961Z,energy4,2,2271
humidity,2015-02-13T16:46:12.2478961Z,humidity4,2,62
light,2015-02-13T16:46:12.2478961Z,light4,2,576
temperature,2015-02-13T16:46:12.2528989Z,temperature5,2,28.39
energy,2015-02-13T16:46:12.2528989Z,energy5,2,2793
humidity,2015-02-13T16:46:12.2528989Z,humidity5,2,165
light,2015-02-13T16:46:12.2528989Z,light5,2,988
temperature,2015-02-13T16:46:12.2609046Z,temperature6,2,23.72
energy,2015-02-13T16:46:12.2609046Z,energy6,2,4119
humidity,2015-02-13T16:46:12.2619056Z,humidity6,2,70
light,2015-02-13T16:46:12.2619056Z,light6,2,1661
temperature,2015-02-13T16:46:12.2699130Z,temperature7,2,26.2
energy,2015-02-13T16:46:12.2699130Z,energy7,2,2118
humidity,2015-02-13T16:46:12.2699130Z,humidity7,2,79
light,2015-02-13T16:46:12.2699130Z,light7,2,2484
temperature,2015-02-13T16:46:12.2739154Z,temperature8,2,27.45
energy,2015-02-13T16:46:12.2739154Z,energy8,2,3718
humidity,2015-02-13T16:46:12.2739154Z,humidity8,2,64
light,2015-02-13T16:46:12.2739154Z,light8,2,1600
temperature,2015-02-13T16:46:12.2789174Z,temperature9,2,22.38
energy,2015-02-13T16:46:12.2789174Z,energy9,2,3414
humidity,2015-02-13T16:46:12.2789174Z,humidity9,2,63
light,2015-02-13T16:46:12.2789174Z,light9,2,1612
temperature,2015-02-13T16:46:12.2889245Z,temperature0,3,23.7
energy,2015-02-13T16:46:12.2889245Z,energy0,3,3330
humidity,2015-02-13T16:46:12.2889245Z,humidity0,3,41
light,2015-02-13T16:46:12.2889245Z,light0,3,1465
temperature,2015-02-13T16:46:12.2939283Z,temperature1,3,25.75
energy,2015-02-13T16:46:12.2939283Z,energy1,3,3818
humidity,2015-02-13T16:46:12.2939283Z,humidity1,3,68
light,2015-02-13T16:46:12.2939283Z,light1,3,350
temperature,2015-02-13T16:46:12.2979334Z,temperature2,3,27.87
energy,2015-02-13T16:46:12.2979334Z,energy2,3,3368
humidity,2015-02-13T16:46:12.2979334Z,humidity2,3,59
light,2015-02-13T16:46:12.2989316Z,light2,3,20
temperature,2015-02-13T16:46:12.3039349Z,temperature3,3,74.19
energy,2015-02-13T16:46:12.3039349Z,energy3,3,9716
humidity,2015-02-13T16:46:12.3039349Z,humidity3,3,46
light,2015-02-13T16:46:12.3039349Z,light3,3,1014
temperature,2015-02-13T16:46:12.3079378Z,temperature4,3,21.89
energy,2015-02-13T16:46:12.3079378Z,energy4,3,3166
humidity,2015-02-13T16:46:12.3079378Z,humidity4,3,50
light,2015-02-13T16:46:12.3079378Z,light4,3,683
temperature,2015-02-13T16:46:12.3259506Z,temperature5,3,21.33
energy,2015-02-13T16:46:12.3259506Z,energy5,3,2031
humidity,2015-02-13T16:46:12.3259506Z,humidity5,3,156
light,2015-02-13T16:46:12.3259506Z,light5,3,1305
temperature,2015-02-13T16:46:12.3349576Z,temperature6,3,22.7
energy,2015-02-13T16:46:12.3349576Z,energy6,3,4832
humidity,2015-02-13T16:46:12.3349576Z,humidity6,3,92
light,2015-02-13T16:46:12.3349576Z,light6,3,951
temperature,2015-02-13T16:46:12.3399610Z,temperature7,3,24.12
energy,2015-02-13T16:46:12.3399610Z,energy7,3,4227
humidity,2015-02-13T16:46:12.3399610Z,humidity7,3,79
light,2015-02-13T16:46:12.3399610Z,light7,3,57
temperature,2015-02-13T16:46:12.3489671Z,temperature8,3,29.08
energy,2015-02-13T16:46:12.3489671Z,energy8,3,4734
humidity,2015-02-13T16:46:12.3489671Z,humidity8,3,84
light,2015-02-13T16:46:12.3489671Z,light8,3,882
temperature,2015-02-13T16:46:12.3579733Z,temperature9,3,21.82
energy,2015-02-13T16:46:12.3579733Z,energy9,3,2469
humidity,2015-02-13T16:46:12.3579733Z,humidity9,3,75
light,2015-02-13T16:46:12.3579733Z,light9,3,1472
temperature,2015-02-13T16:46:12.3689822Z,temperature0,4,19.69
energy,2015-02-13T16:46:12.3689822Z,energy0,4,4626
humidity,2015-02-13T16:46:12.3689822Z,humidity0,4,41
light,2015-02-13T16:46:12.3689822Z,light0,4,437
temperature,2015-02-13T16:46:12.3799894Z,temperature1,4,24.64
energy,2015-02-13T16:46:12.3799894Z,energy1,4,4822
humidity,2015-02-13T16:46:12.3799894Z,humidity1,4,74
light,2015-02-13T16:46:12.3799894Z,light1,4,1523
temperature,2015-02-13T16:46:12.3869946Z,temperature2,4,21.52
energy,2015-02-13T16:46:12.3869946Z,energy2,4,4295
humidity,2015-02-13T16:46:12.3869946Z,humidity2,4,65
light,2015-02-13T16:46:12.3869946Z,light2,4,1940
temperature,2015-02-13T16:46:12.3929988Z,temperature3,4,60.64
energy,2015-02-13T16:46:12.3929988Z,energy3,4,8408
humidity,2015-02-13T16:46:12.3939993Z,humidity3,4,68
light,2015-02-13T16:46:12.3939993Z,light3,4,780
temperature,2015-02-13T16:46:12.4030055Z,temperature4,4,25.14
energy,2015-02-13T16:46:12.4030055Z,energy4,4,2899
humidity,2015-02-13T16:46:12.4030055Z,humidity4,4,59
light,2015-02-13T16:46:12.4030055Z,light4,4,1857
temperature,2015-02-13T16:46:12.4120135Z,temperature5,4,21.25
energy,2015-02-13T16:46:12.4120135Z,energy5,4,2563
humidity,2015-02-13T16:46:12.4130135Z,humidity5,4,143
light,2015-02-13T16:46:12.4130135Z,light5,4,228
temperature,2015-02-13T16:46:12.4220192Z,temperature6,4,24.02
energy,2015-02-13T16:46:12.4230202Z,energy6,4,3418
humidity,2015-02-13T16:46:12.4230202Z,humidity6,4,96
light,2015-02-13T16:46:12.4230202Z,light6,4,137
temperature,2015-02-13T16:46:12.4330268Z,temperature7,4,26.46
energy,2015-02-13T16:46:12.4330268Z,energy7,4,3982
humidity,2015-02-13T16:46:12.4330268Z,humidity7,4,52
light,2015-02-13T16:46:12.4330268Z,light7,4,373
temperature,2015-02-13T16:46:12.4430366Z,temperature8,4,29.3
energy,2015-02-13T16:46:12.4430366Z,energy8,4,3964
humidity,2015-02-13T16:46:12.4430366Z,humidity8,4,59
light,2015-02-13T16:46:12.4430366Z,light8,4,513
temperature,2015-02-13T16:46:12.4510396Z,temperature9,4,28.68
energy,2015-02-13T16:46:12.4510396Z,energy9,4,3805
humidity,2015-02-13T16:46:12.4510396Z,humidity9,4,47
light,2015-02-13T16:46:12.4510396Z,light9,4,657
temperature,2015-02-13T16:46:13.4605237Z,temperature0,0,20.72
energy,2015-02-13T16:46:13.4605237Z,energy0,0,3750
humidity,2015-02-13T16:46:13.4605237Z,humidity0,0,52
light,2015-02-13T16:46:13.4605237Z,light0,0,1255
temperature,2015-02-13T16:46:13.4795084Z,temperature1,0,20.77
energy,2015-02-13T16:46:13.4805107Z,energy1,0,2284
humidity,2015-02-13T16:46:13.4805107Z,humidity1,0,71
light,2015-02-13T16:46:13.4805107Z,light1,0,283
temperature,2015-02-13T16:46:13.5065287Z,temperature2,0,28.54
energy,2015-02-13T16:46:13.5065287Z,energy2,0,2977
humidity,2015-02-13T16:46:13.5065287Z,humidity2,0,75
light,2015-02-13T16:46:13.5065287Z,light2,0,2008
temperature,2015-02-13T16:46:13.5245478Z,temperature3,0,72.67
energy,2015-02-13T16:46:13.5245478Z,energy3,0,7203
humidity,2015-02-13T16:46:13.5245478Z,humidity3,0,65
light,2015-02-13T16:46:13.5245478Z,light3,0,1470
temperature,2015-02-13T16:46:13.5455558Z,temperature4,0,21.48
energy,2015-02-13T16:46:13.5465567Z,energy4,0,4639
humidity,2015-02-13T16:46:13.5465567Z,humidity4,0,70
light,2015-02-13T16:46:13.5465567Z,light4,0,159
temperature,2015-02-13T16:46:13.5615680Z,temperature5,0,23.94
energy,2015-02-13T16:46:13.5615680Z,energy5,0,4276
humidity,2015-02-13T16:46:13.5615680Z,humidity5,0,92
light,2015-02-13T16:46:13.5615680Z,light5,0,947
temperature,2015-02-13T16:46:13.5775852Z,temperature6,0,23.97
energy,2015-02-13T16:46:13.5785799Z,energy6,0,3612
humidity,2015-02-13T16:46:13.5785799Z,humidity6,0,88
light,2015-02-13T16:46:13.5785799Z,light6,0,1391
temperature,2015-02-13T16:46:13.6015951Z,temperature7,0,20.59
energy,2015-02-13T16:46:13.6015951Z,energy7,0,3239
humidity,2015-02-13T16:46:13.6015951Z,humidity7,0,58
light,2015-02-13T16:46:13.6015951Z,light7,0,4035
temperature,2015-02-13T16:46:13.6376216Z,temperature8,0,24.96
energy,2015-02-13T16:46:13.6376216Z,energy8,0,2806
humidity,2015-02-13T16:46:13.6376216Z,humidity8,0,75
light,2015-02-13T16:46:13.6376216Z,light8,0,1037
temperature,2015-02-13T16:46:13.6546339Z,temperature9,0,27.73
energy,2015-02-13T16:46:13.6546339Z,energy9,0,2020
humidity,2015-02-13T16:46:13.6546339Z,humidity9,0,79
light,2015-02-13T16:46:13.6546339Z,light9,0,687
temperature,2015-02-13T16:46:13.6746485Z,temperature0,1,26.12
energy,2015-02-13T16:46:13.6746485Z,energy0,1,3021
humidity,2015-02-13T16:46:13.6756490Z,humidity0,1,44
light,2015-02-13T16:46:13.6756490Z,light0,1,730
temperature,2015-02-13T16:46:13.6916599Z,temperature1,1,26.97
